Rk,Age▼,Date,Tm,at,Opp,outcome,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
88,29-102,2018-12-06,HOU,@,UTA,0,1,28,5,16,0.313,3,8,0.375,2,8,0.25,3,3,1,1,5,6,2,0,0,7,3,15,1.2
89,29-099,2018-12-03,HOU,@,MIN,0,1,37,8,17,0.471,5,10,0.5,3,7,0.429,10,13,0.769,0,4,4,8,2,1,5,5,29,21.6
90,29-097,2018-12-01,HOU,,CHI,1,1,30,9,16,0.563,3,5,0.6,6,11,0.545,6,7,0.857,0,6,6,7,1,1,7,1,30,23
91,29-096,2018-11-30,HOU,@,SAS,1,1,28,9,20,0.45,6,9,0.667,3,11,0.273,2,2,1,1,6,7,10,0,1,2,4,23,19.2
92,29-094,2018-11-28,HOU,,DAL,0,1,37,7,15,0.467,3,4,0.75,4,11,0.364,7,9,0.778,1,10,11,17,6,0,8,4,25,28.5
93,29-092,2018-11-26,HOU,@,WAS,0,1,47,17,32,0.531,10,17,0.588,7,15,0.467,13,15,0.867,1,7,8,13,3,0,11,4,54,39.9
94,29-090,2018-11-24,HOU,@,CLE,0,1,44,14,30,0.467,9,18,0.5,5,12,0.417,7,12,0.583,1,3,4,13,1,0,9,3,40,24.1
95,29-089,2018-11-23,HOU,@,DET,0,1,41,9,27,0.333,6,16,0.375,3,11,0.273,12,14,0.857,1,1,2,8,0,1,7,5,33,15.2
96,29-087,2018-11-21,HOU,,DET,1,1,36,10,20,0.5,6,11,0.545,4,9,0.444,19,19,1,1,6,7,9,4,0,6,3,43,38.6
97,29-083,2018-11-17,HOU,,SAC,1,1,34,10,17,0.588,6,7,0.857,4,10,0.4,10,10,1,0,4,4,8,3,0,6,3,34,28.7
98,29-081,2018-11-15,HOU,,GSW,1,1,32,8,23,0.348,4,9,0.444,4,14,0.286,7,8,0.875,0,3,3,3,2,0,1,4,27,16.1
99,29-079,2018-11-13,HOU,@,DEN,1,1,37,7,16,0.438,5,6,0.833,2,10,0.2,6,8,0.75,1,4,5,11,3,1,4,3,22,20.9
100,29-077,2018-11-11,HOU,,IND,1,1,38,9,20,0.45,1,2,0.5,8,18,0.444,14,15,0.933,0,7,7,9,1,1,9,5,40,28.3
101,29-076,2018-11-10,HOU,@,SAS,0,1,39,7,27,0.259,6,14,0.429,1,13,0.077,10,13,0.769,0,6,6,3,2,2,2,3,25,11.8
102,29-074,2018-11-08,HOU,@,OKC,0,1,38,7,19,0.368,3,7,0.429,4,12,0.333,1,3,0.333,1,7,8,5,2,1,5,3,19,10.5
103,29-071,2018-11-05,HOU,@,IND,1,1,35,7,15,0.467,2,3,0.667,5,12,0.417,9,9,1,0,4,4,6,3,1,5,5,28,22.4
104,29-069,2018-11-03,HOU,@,CHI,1,1,33,7,17,0.412,2,5,0.4,5,12,0.417,6,8,0.75,0,1,1,7,4,0,8,3,25,15.1
105,29-059,2018-10-24,HOU,,UTA,0,1,32,10,19,0.526,7,15,0.467,3,4,0.75,6,9,0.667,1,4,5,7,1,0,7,4,29,17.7
106,29-056,2018-10-21,HOU,@,LAC,0,1,40,11,26,0.423,7,14,0.5,4,12,0.333,5,6,0.833,0,4,4,14,2,0,3,1,31,26.4
107,29-055,2018-10-20,HOU,@,LAL,1,1,38,10,19,0.526,5,9,0.556,5,10,0.5,11,15,0.733,1,6,7,5,2,1,6,2,36,27
108,29-052,2018-10-17,HOU,,NOP,0,1,35,6,15,0.4,3,7,0.429,3,8,0.375,3,4,0.75,2,7,9,10,3,1,4,2,18,18.9
109,28-227,2018-04-10,HOU,@,LAL,1,1,31,6,15,0.4,3,8,0.375,3,7,0.429,6,6,1,1,3,4,10,1,1,6,0,21,17.2
110,28-224,2018-04-07,HOU,,OKC,0,1,36,7,16,0.438,4,8,0.5,3,8,0.375,9,12,0.75,0,4,4,9,1,1,5,5,26,18.6
111,28-222,2018-04-05,HOU,,POR,1,1,34,7,13,0.538,4,7,0.571,3,6,0.5,7,10,0.7,1,5,6,7,1,0,8,0,24,16.6
112,28-220,2018-04-03,HOU,,WAS,1,1,34,12,18,0.667,7,10,0.7,5,8,0.625,9,10,0.9,1,9,10,9,1,1,3,1,38,37.8
113,28-218,2018-04-01,HOU,@,SAS,0,1,36,8,19,0.421,7,13,0.538,1,6,0.167,8,8,1,1,2,3,8,0,0,5,5,25,14.8
114,28-216,2018-03-30,HOU,,PHO,1,1,38,8,21,0.381,7,13,0.538,1,8,0.125,11,17,0.647,0,8,8,10,2,1,4,1,28,21.8
115,28-211,2018-03-25,HOU,,ATL,1,1,30,6,15,0.4,5,8,0.625,1,7,0.143,5,5,1,0,10,10,15,2,0,2,2,18,22.6
116,28-210,2018-03-24,HOU,,NOP,1,1,30,11,24,0.458,8,13,0.615,3,11,0.273,2,2,1,0,6,6,8,1,1,9,0,27,14.7
117,28-208,2018-03-22,HOU,,DET,1,1,40,4,20,0.2,4,12,0.333,0,8,0,13,18,0.722,0,8,8,5,2,2,3,2,21,12.1
118,28-206,2018-03-20,HOU,@,POR,1,1,33,13,25,0.52,8,18,0.444,5,7,0.714,11,15,0.733,0,6,6,7,0,0,4,3,42,29.6
119,28-204,2018-03-18,HOU,@,MIN,1,1,37,9,18,0.5,7,9,0.778,2,9,0.222,14,14,1,0,4,4,12,2,1,4,2,34,32.5
120,28-203,2018-03-17,HOU,@,NOP,1,1,38,11,28,0.393,7,15,0.467,4,13,0.308,6,8,0.75,4,7,11,8,2,0,2,2,32,25.7
121,28-201,2018-03-15,HOU,,LAC,1,1,34,7,16,0.438,5,8,0.625,2,8,0.25,8,9,0.889,2,3,5,7,1,1,3,3,24,19.9
122,28-198,2018-03-12,HOU,,SAS,1,1,29,6,17,0.353,4,6,0.667,2,11,0.182,14,14,1,2,4,6,6,0,0,3,3,28,21.1
123,28-195,2018-03-09,HOU,@,TOR,0,1,33,15,22,0.682,11,14,0.786,4,8,0.5,6,7,0.857,0,2,2,4,0,1,4,1,40,29.9
124,28-193,2018-03-07,HOU,@,MIL,1,1,35,8,20,0.4,5,10,0.5,3,10,0.3,7,7,1,0,5,5,6,4,1,5,2,26,19.8
125,28-192,2018-03-06,HOU,@,OKC,1,1,36,8,13,0.615,7,10,0.7,1,3,0.333,6,7,0.857,0,5,5,11,4,1,10,4,23,19
126,28-189,2018-03-03,HOU,,BOS,1,1,38,6,18,0.333,3,6,0.5,3,12,0.25,11,13,0.846,2,5,7,10,5,1,4,2,26,25.8
127,28-186,2018-02-28,HOU,@,LAC,1,1,33,7,14,0.5,4,4,1,3,10,0.3,8,9,0.889,0,3,3,7,2,1,4,4,25,20.5
128,28-184,2018-02-26,HOU,@,UTA,1,1,35,8,13,0.615,7,8,0.875,1,5,0.2,9,12,0.75,1,10,11,5,4,0,6,1,26,23.7
129,28-183,2018-02-25,HOU,@,DEN,1,1,37,11,20,0.55,5,10,0.5,6,10,0.6,13,16,0.813,1,7,8,7,1,0,5,2,41,33.1
130,28-181,2018-02-23,HOU,,MIN,1,1,34,8,25,0.32,5,15,0.333,3,10,0.3,12,12,1,0,2,2,9,2,0,4,2,31,20.8
131,28-172,2018-02-14,HOU,,SAC,1,1,35,7,19,0.368,2,4,0.5,5,15,0.333,9,11,0.818,0,9,9,9,2,1,6,2,28,21.6
132,28-171,2018-02-13,HOU,@,MIN,1,1,36,10,20,0.5,4,10,0.4,6,10,0.6,8,9,0.889,0,6,6,13,0,1,1,2,34,33.4
