Rk,Age▼,Date,Tm,at,Opp,outcome,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
188,27-214,2017-03-28,HOU,,GSW,0,1,38,5,20,0.25,4,11,0.364,1,9,0.111,13,13,1,3,8,11,13,1,0,6,1,24,20.2
189,27-212,2017-03-26,HOU,,OKC,1,1,36,8,15,0.533,6,7,0.857,2,8,0.25,4,5,0.8,0,5,5,12,0,0,5,5,22,17.2
190,27-210,2017-03-24,HOU,,NOP,1,1,38,12,24,0.5,7,12,0.583,5,12,0.417,9,11,0.818,1,6,7,17,2,1,3,2,38,38.5
191,27-206,2017-03-20,HOU,,DEN,1,1,40,13,29,0.448,9,18,0.5,4,11,0.364,9,11,0.818,1,6,7,11,4,0,6,4,39,29.7
192,27-204,2017-03-18,HOU,@,DEN,1,1,37,11,23,0.478,8,15,0.533,3,8,0.375,15,17,0.882,0,10,10,10,2,0,8,3,40,30.3
193,27-203,2017-03-17,HOU,@,NOP,0,1,40,12,21,0.571,8,11,0.727,4,10,0.4,13,14,0.929,2,12,14,11,2,0,5,2,41,39.6
194,27-201,2017-03-15,HOU,,LAL,1,1,31,6,12,0.5,5,6,0.833,1,6,0.167,5,7,0.714,3,9,12,13,2,0,9,2,18,17.3
195,27-198,2017-03-12,HOU,,CLE,1,1,40,13,28,0.464,9,14,0.643,4,14,0.286,8,12,0.667,3,7,10,11,1,1,4,2,38,30.8
196,27-196,2017-03-10,HOU,@,CHI,1,1,33,6,16,0.375,3,7,0.429,3,9,0.333,4,5,0.8,0,7,7,13,3,0,6,3,19,16.8
197,27-194,2017-03-08,HOU,,UTA,0,1,37,10,22,0.455,10,14,0.714,0,8,0,15,16,0.938,0,4,4,6,2,1,6,1,35,24.9
198,27-192,2017-03-06,HOU,@,SAS,0,1,36,13,20,0.65,7,11,0.636,6,9,0.667,7,8,0.875,1,2,3,12,0,0,7,2,39,31.7
199,27-190,2017-03-04,HOU,,MEM,1,1,36,9,15,0.6,3,5,0.6,6,10,0.6,9,13,0.692,1,6,7,11,2,0,5,2,33,30.9
200,27-187,2017-03-01,HOU,@,LAC,1,1,36,7,15,0.467,3,6,0.5,4,9,0.444,8,8,1,0,3,3,9,1,0,7,4,26,17.9
